"taxonomy","n"
"Abudefduf septemfasciatus",149
"Abudefduf sexfasciatus",2278
"Abudefduf sordidus",41
"Acanthuridae unidentified",1
"Acanthurus achilles",3
"Acanthurus blochii",48
"Acanthurus guttatus",17
"Acanthurus lineatus",95
"Acanthurus mata",1
"Acanthurus nigricans",1317
"Acanthurus nigricauda",535
"Acanthurus nigrofuscus",13239
"Acanthurus nigros",631
"Acanthurus olivaceus",848
"Acanthurus pyroferus",1388
"Acanthurus thompsoni",318
"Acanthurus triostegus",8847
"Acanthurus xanthopterus",1
"Aetobatus ocellatus",6
"Aluterus scriptus",14
"Amanses scopas",141
"Amblyeleotris fasciata",10
"Amblygobius nocturnus",212
"Amblygobius phalaena",21
"Amphiprion chrysopterus",13
"Anampses caeruleopunctatus",117
"Anampses melanurus",25
"Anampses meleagrides",3
"Anampses twistii",138
"Aphareus furca",142
"Aprion virescens",7
"Arothron hispidus",16
"Arothron meleagris",42
"Arothron stellatus",5
"Aspidontus dussumieri",2
"Aspidontus taeniatus",22
"Asterropteryx ensifera",39
"Asterropteryx semipunctata",116
"Asterropteryx striata",7
"Atrosalarias fuscus",91
"Aulostomus chinensis",174
"Balistapus undulatus",2389
"Balistidae unidentified 1",1
"Balistoides viridescens",57
"Blenniella paula",1
"Blenniella sp.",1
"Blenniidae unidentified",11
"Blenniidae unidentified 5",10
"Blenniidae unidentified 6",1
"Blenniidae unidentified 7",1
"Bodianus axillaris",111
"Bothus mancus",4
"Bryaninops sp.",1
"Bryaninops tigris",17
"Callionymus filamentosus",1
"Calotomus carolinus",85
"Cantherhines dumerilii",60
"Cantherhines pardalis",6
"Cantherhines sandwichiensis",270
"Canthidermis maculata",13
"Canthigaster amboinensis",3
"Canthigaster bennetti",94
"Canthigaster janthinoptera",4
"Canthigaster solandri",1051
"Canthigaster sp. 1",2
"Canthigaster valentini",224
"Caracanthus maculatus",2075
"Caracanthus unipinna",163
"Carangidae sp.",1
"Carangidae sp. 1",14
"Carangoides ferdau",2
"Carangoides orthogrammus",4
"Caranx lugubris",1
"Caranx melampygus",69
"Carcharhinus amblyrhynchos",1
"Carcharhinus melanopterus",50
"Centropyge bispinosa",3678
"Centropyge flavicauda",10
"Centropyge flavissima",8043
"Centropyge heraldi",121
"Centropyge loricula",1986
"Centropyge multifasciata",2
"Cephalopholis argus",1876
"Cephalopholis sexmaculata",1
"Cephalopholis urodeta",1172
"Cetoscarus ocellatus",7
"Chaetodon auriga",671
"Chaetodon bennetti",37
"Chaetodon citrinellus",2020
"Chaetodon ephippium",251
"Chaetodon lunula",1430
"Chaetodon lunulatus",2555
"Chaetodon mertensii",85
"Chaetodon ornatissimus",1269
"Chaetodon pelewensis",3322
"Chaetodon quadrimaculatus",627
"Chaetodon reticulatus",1448
"Chaetodon trichrous",145
"Chaetodon trifascialis",86
"Chaetodon ulietensis",505
"Chaetodon unimaculatus",1346
"Chaetodon vagabundus",1008
"Chanos chanos",10
"Cheilinus chlorourus",597
"Cheilinus oxycephalus",410
"Cheilinus sp.",1
"Cheilinus trilobatus",421
"Cheilinus undulatus",31
"Cheilio inermis",25
"Cheilodipterus macrodon",26
"Cheilodipterus quinquelineatus",228
"Chlorurus frontalis",34
"Chlorurus microrhinos",104
"Chlorurus spilurus",26137
"Chromis acares",22590
"Chromis agilis",250
"Chromis atripectoralis",1114
"Chromis iomelas",20460
"Chromis margaritifer",7184
"Chromis vanderbilti",33601
"Chromis viridis",7775
"Chromis xanthura",1500
"Chrysiptera brownriggii",1934
"Chrysiptera glauca",27
"Cirrhilabrus exquisitus",2005
"Cirrhilabrus scottorum",13246
"Cirrhitichthys oxycephalus",2
"Cirripectes sp.",1
"Cirripectes variolosus",145
"Coris aygula",244
"Coris gaimard",570
"Corythoichthys flavofasciatus",51
"Ctenochaetus binotatus",1065
"Ctenochaetus flavicauda",3844
"Ctenochaetus striatus",25285
"Ctenogobiops feroculus",836
"Cypselurus simus",39
"Dascyllus aruanus",1021
"Dascyllus flavicaudus",8497
"Dascyllus trimaculatus",1407
"Diodon hystrix",81
"Diplogrammus goramensis",1
"Echeneis naucrates",2
"Echidna nebulosa",12
"Enchelycore pardalis",1
"Epibulus insidiator",1286
"Epinephelus fasciatus",36
"Epinephelus hexagonatus",7
"Epinephelus merra",557
"Eviota infulata",6
"Eviota sp.",26
"Eviota sp. 2",1
"Eviota sp. 3",1
"Exallias brevis",70
"Fistularia commersonii",392
"Forcipiger flavissimus",711
"Forcipiger longirostris",106
"Fusigobius neophytus",653
"Gnathanodon speciosus",1
"Gnathodentex aureolineatus",2161
"Gnatholepis anjerensis",278
"Gnatholepis cauerensis",2
"Gobiidae unidentified",5
"Gobiidae unidentified 1",25
"Gobiidae unidentified 10",1
"Gobiidae unidentified 11",1
"Gobiidae unidentified 12",2
"Gobiidae unidentified 2",5
"Gobiidae unidentified 3",1
"Gobiidae unidentified 4",1
"Gobiidae unidentified 5",1
"Gobiidae unidentified 6",3
"Gobiidae unidentified 7",1
"Gobiidae unidentified 8",1
"Gobiidae unidentified 9",2
"Gobiodon quinquestrigatus (cf)",1
"Gobiodon sp.",1
"Gomphosus varius",2512
"Grammistes sexlineatus",9
"Gunnellichthys monostigma",2
"Gymnomuraena zebra",1
"Gymnosarda unicolor",1
"Gymnothorax buroensis",1
"Gymnothorax eurostus",2
"Gymnothorax fimbriatus",3
"Gymnothorax flavimarginatus",10
"Gymnothorax javanicus",51
"Gymnothorax melatremus",1
"Gymnothorax meleagris",47
"Gymnothorax pictus",2
"Gymnothorax undulatus",1
"Halichoeres claudia",3119
"Halichoeres hortulanus",2001
"Halichoeres margaritaceus",200
"Halichoeres marginatus",279
"Halichoeres melasmapomus",1
"Halichoeres sp.",2
"Halichoeres trimaculatus",2511
"Hemigymnus fasciatus",180
"Hemitaurichthys polylepis",26
"Heniochus acuminatus",1
"Heniochus chrysostomus",1070
"Heniochus monoceros",1
"Hipposcarus longiceps",40
"Holocentridae unidentified 1",1
"Hologymnosus annulatus",100
"Hologymnosus doliatus",4
"Hyporhamphus affinis",1005
"Hyporhamphus sp.",18
"Kyphosus sp.",21
"Labridae unidentified",4
"Labridae unidentified 1",1
"Labridae unidentified 2",2
"Labridae unidentified 3",1
"Labroides bicolor",818
"Labroides dimidiatus",1199
"Labroides rubrolabiatus",468
"Lactoria cornuta",1
"Lepidozygus tapeinosoma",5474
"Leptoscarus vaigiensis",19
"Lethrinus olivaceus",90
"Lethrinus sp.",1
"Lethrinus xanthochilus",48
"Lutjanus bohar",19
"Lutjanus fulvus",527
"Lutjanus gibbus",2
"Lutjanus kasmira",190
"Lutjanus monostigma",278
"Lutjanus rivulatus",3
"Macropharyngodon meleagris",1182
"Macropharyngodon ornatus",82
"Malacanthus brevirostris",1
"Melichthys niger",1086
"Melichthys vidua",1593
"Monotaxis grandoculis",1315
"Monotaxis sp.",16
"Mulloidichthys flavolineatus",2547
"Mulloidichthys vanicolensis",1132
"Myripristis amaena",104
"Myripristis berndti",141
"Myripristis kuntee",221
"Myripristis murdjan",9
"Myripristis violacea",250
"Naso annulatus",92
"Naso brachycentron",18
"Naso brevirostris",167
"Naso hexacanthus",14
"Naso lituratus",3010
"Naso sp.",1
"Naso sp. 1",3
"Naso unicornis",125
"Naso vlamingii",15
"Nebrius ferrugineus",2
"Nectamia fusca",5
"Negaprion acutidens",3
"Nemateleotris magnifica",1463
"Neocirrhites armatus",4146
"Neoniphon argenteus",83
"Neoniphon opercularis",3
"Neoniphon sammara",302
"No fish observed",0
"Novaculichthys taeniourus",126
"Odonus niger",3146
"Ostorhinchus angustatus",27
"Ostorhinchus nigrofasciatus",33
"Ostracion cubicus",25
"Ostracion meleagris",208
"Oxycheilinus bimaculatus",21
"Oxycheilinus lineatus",5
"Oxycheilinus unifasciatus",204
"Paracirrhites arcatus",4440
"Paracirrhites forsteri",121
"Paracirrhites hemistictus",61
"Paragobiodon echinocephalus",7
"Paragobiodon lacunicolus",3
"Paragobiodon modestus",9
"Paragobiodon sp.",4
"Parapercis millepunctata",357
"Parapercis multiplicata",2
"Parupeneus barberinus",32
"Parupeneus ciliatus",197
"Parupeneus cyclostomus",327
"Parupeneus insularis",310
"Parupeneus multifasciatus",3564
"Parupeneus pleurostigma",129
"Petroscirtes xestus",2
"Plagiotremus tapeinosoma",370
"Platax orbicularis",11
"Platybelone argalus platyura",69
"Plectroglyphidodon (cf) sp.",33
"Plectroglyphidodon dickii",34
"Plectroglyphidodon flaviventris",2
"Plectroglyphidodon johnstonianus",2728
"Plectroglyphidodon lacrymatus",1335
"Pogonoperca punctata",1
"Polydactylus sexfilis",7
"Pomacanthus imperator",26
"Pomacentrus pavo",4346
"Pomachromis fuscidorsalis",6297
"Pristiapogon exostigma",2
"Pristiapogon fraenatus",59
"Pristiapogon kallopterus",23
"Pseudanthias mooreanus",165
"Pseudanthias olivaceus",4058
"Pseudanthias pascalus",3529
"Pseudobalistes flavimarginatus",12
"Pseudobalistes fuscus",1
"Pseudocheilinus evanidus",120
"Pseudocheilinus hexataenia",2790
"Pseudocheilinus octotaenia",130
"Pseudocheilinus octotaenia (cf)",31
"Pseudocheilinus tetrataenia",1144
"Pseudodax moluccanus",24
"Pseudojuloides atavai",389
"Pseudojuloides cerasinus",7
"Ptereleotris evides",123
"Ptereleotris heteroptera",203
"Ptereleotris microlepis",20
"Ptereleotris monoptera",34
"Pterocaesio tile",27
"Pterois antennata",12
"Pterois radiata",23
"Pterois volitans",1
"Pygoplites diacanthus",462
"Rhinecanthus aculeatus",206
"Rhinecanthus lunula",27
"Rhinecanthus rectangulus",24
"Sargocentron caudimaculatum",24
"Sargocentron diadema",27
"Sargocentron microstoma",96
"Sargocentron punctatissimum",12
"Sargocentron sp.",1
"Sargocentron spiniferum",104
"Sargocentron tiere",28
"Saurida gracilis",39
"Scaridae unidentified 1",2
"Scaridae unidentified 2",3
"Scaridae unidentified 3",2
"Scaridae unidentified 4",2
"Scaridae unidentified 5",1
"Scaridae unidentified 6",1
"Scaridae unidentified 7",2
"Scaridae unidentified 8",1
"Scaridae unidentified 9",1
"Scarus altipinnis",217
"Scarus chameleon",1
"Scarus forsteni",304
"Scarus frenatus",112
"Scarus ghobban",14
"Scarus globiceps",346
"Scarus niger",336
"Scarus oviceps",1645
"Scarus psittacus",14662
"Scarus rubroviolaceus",201
"Scarus schlegeli",135
"Scarus tricolor",2
"Scomberoides lysan",37
"Scorpaenidae unidentified",1
"Scorpaenopsis diabolus",8
"Scorpaenopsis papuensis",3
"Scorpaenopsis sp.",2
"Scuticaria tigrina",1
"Sebastapistes sp.",5
"Sebastapistes tinkhami",63
"Siganus argenteus",298
"Siganus spinus",552
"Sphyraena barracuda",1
"Sphyraena qenie",2
"Sphyraena sp. 1",1
"Stegastes albifasciatus",23
"Stegastes fasciolatus",1788
"Stegastes nigricans",5631
"Stegastes punctatus",543
"Stethojulis bandanensis",1673
"Sufflamen bursa",1955
"Synanceia verrucosa",5
"Synchiropus ocellatus",2
"Synodus binotatus",38
"Synodus dermatogenys",1
"Synodus jaculum",2
"Synodus variegatus",1
"Taenianotus triacanthus",1
"Teleostei unidentified",1
"Thalassoma amblycephalum",575
"Thalassoma hardwicke",10339
"Thalassoma lutescens",840
"Thalassoma purpureum",16
"Thalassoma quinquevittatum",2811
"Thalassoma trilobatum",12
"Triaenodon obesus",2
"Tylosurus crocodilus",3
"Valenciennea strigata",219
"Variola albimarginata",3
"Variola louti",37
"Wetmorella nigropinnata",2
"Zanclus cornutus",889
"Zebrasoma scopas",11842
"Zebrasoma velifer",198
NA,0
